sequencing_run_name,sample_name,fq_dir,r1_file,r2_file,reaction_group,temperature,replicate,reaction_time,probe,probe_concentration,RT,treated,buffer,construct,done_by
230607_M05164_0144_000000000-L3FLD,033-EKC-WT-45c-b-6-m,../demo_data/probe_data,033-EKC-WT-45c-b-6-m_S33_L001.sub5k_R1.fastq.gz,033-EKC-WT-45c-b-6-m_S33_L001.sub5k_R2.fastq.gz,45_3,45,2,2400,etoh,0,MRT,0,pH6.5_A,4U_wt,EKC
230607_M05164_0144_000000000-L3FLD,034-EKC-WT-52c-a-6-m,../demo_data/probe_data,034-EKC-WT-52c-a-6-m_S34_L001.sub5k_R1.fastq.gz,034-EKC-WT-52c-a-6-m_S34_L001.sub5k_R2.fastq.gz,52_1,52,1,1200,etoh,0,MRT,0,pH6.5_A,4U_wt,EKC
230607_M05164_0144_000000000-L3FLD,037-EKC-WT-52c-a-6-m,../demo_data/probe_data,037-EKC-WT-52c-a-6-m_S37_L001.sub5k_R1.fastq.gz,037-EKC-WT-52c-a-6-m_S37_L001.sub5k_R2.fastq.gz,52_1,52,1,180,etoh,0,MRT,0,pH6.5_A,4U_wt,EKC
230607_M05164_0144_000000000-L3FLD,073-EKC-WT-45c-b-1-p,../demo_data/probe_data,073-EKC-WT-45c-b-1-p_S73_L001.sub5k_R1.fastq.gz,073-EKC-WT-45c-b-1-p_S73_L001.sub5k_R2.fastq.gz,45_3,45,2,120,dms,0.015852692,MRT,1,pH6.5_A,4U_wt,EKC
230607_M05164_0144_000000000-L3FLD,074-EKC-WT-45c-b-2-p,/Volumes/MiniVault/LucksLab Dropbox/LucksLab/Group_Members/EKC/Projects/EKC.01_SHAPE_Standardization/Experiments/01.065.refactoring_data_analysis/demo_folder/demo_data/probe_data,074-EKC-WT-45c-b-2-p_S74_L001.sub5k_R1.fastq.gz,074-EKC-WT-45c-b-2-p_S74_L001.sub5k_R2.fastq.gz,45_3,45,2,360,dms,0.015852692,MRT,1,pH6.5_A,4U_wt,EKC
230607_M05164_0144_000000000-L3FLD,075-EKC-WT-45c-b-3-p,/Volumes/MiniVault/LucksLab Dropbox/LucksLab/Group_Members/EKC/Projects/EKC.01_SHAPE_Standardization/Experiments/01.065.refactoring_data_analysis/demo_folder/demo_data/probe_data,075-EKC-WT-45c-b-3-p_S75_L001.sub5k_R1.fastq.gz,075-EKC-WT-45c-b-3-p_S75_L001.sub5k_R2.fastq.gz,45_3,45,2,720,dms,0.015852692,MRT,1,pH6.5_A,4U_wt,EKC
230607_M05164_0144_000000000-L3FLD,076-EKC-WT-45c-b-4-p,/Volumes/MiniVault/LucksLab Dropbox/LucksLab/Group_Members/EKC/Projects/EKC.01_SHAPE_Standardization/Experiments/01.065.refactoring_data_analysis/demo_folder/demo_data/probe_data,076-EKC-WT-45c-b-4-p_S76_L001.sub5k_R1.fastq.gz,076-EKC-WT-45c-b-4-p_S76_L001.sub5k_R2.fastq.gz,45_3,45,2,1200,dms,0.015852692,MRT,1,pH6.5_A,4U_wt,EKC
230607_M05164_0144_000000000-L3FLD,077-EKC-WT-45c-b-5-p,/Volumes/MiniVault/LucksLab Dropbox/LucksLab/Group_Members/EKC/Projects/EKC.01_SHAPE_Standardization/Experiments/01.065.refactoring_data_analysis/demo_folder/demo_data/probe_data,077-EKC-WT-45c-b-5-p_S77_L001.sub5k_R1.fastq.gz,077-EKC-WT-45c-b-5-p_S77_L001.sub5k_R2.fastq.gz,45_3,45,2,1800,dms,0.015852692,MRT,1,pH6.5_A,4U_wt,EKC
230607_M05164_0144_000000000-L3FLD,078-EKC-WT-45c-b-6-p,/Volumes/MiniVault/LucksLab Dropbox/LucksLab/Group_Members/EKC/Projects/EKC.01_SHAPE_Standardization/Experiments/01.065.refactoring_data_analysis/demo_folder/demo_data/probe_data,078-EKC-WT-45c-b-6-p_S78_L001.sub5k_R1.fastq.gz,078-EKC-WT-45c-b-6-p_S78_L001.sub5k_R2.fastq.gz,45_3,45,2,2400,dms,0.015852692,MRT,1,pH6.5_A,4U_wt,EKC
230607_M05164_0144_000000000-L3FLD,079-EKC-WT-50c-a-1-p,/Volumes/MiniVault/LucksLab Dropbox/LucksLab/Group_Members/EKC/Projects/EKC.01_SHAPE_Standardization/Experiments/01.065.refactoring_data_analysis/demo_folder/demo_data/probe_data,079-EKC-WT-50c-a-1-p_S79_L001.sub5k_R1.fastq.gz,079-EKC-WT-50c-a-1-p_S79_L001.sub5k_R2.fastq.gz,52_1,52,1,60,dms,0.015852692,MRT,1,pH6.5_A,4U_wt,EKC
230607_M05164_0144_000000000-L3FLD,080-EKC-WT-50c-a-2-p,/Volumes/MiniVault/LucksLab Dropbox/LucksLab/Group_Members/EKC/Projects/EKC.01_SHAPE_Standardization/Experiments/01.065.refactoring_data_analysis/demo_folder/demo_data/probe_data,080-EKC-WT-50c-a-2-p_S80_L001.sub5k_R1.fastq.gz,080-EKC-WT-50c-a-2-p_S80_L001.sub5k_R2.fastq.gz,52_1,52,1,180,dms,0.015852692,MRT,1,pH6.5_A,4U_wt,EKC
230607_M05164_0144_000000000-L3FLD,081-EKC-WT-50c-a-3-p,/Volumes/MiniVault/LucksLab Dropbox/LucksLab/Group_Members/EKC/Projects/EKC.01_SHAPE_Standardization/Experiments/01.065.refactoring_data_analysis/demo_folder/demo_data/probe_data,081-EKC-WT-50c-a-3-p_S81_L001.sub5k_R1.fastq.gz,081-EKC-WT-50c-a-3-p_S81_L001.sub5k_R2.fastq.gz,52_1,52,1,360,dms,0.015852692,MRT,1,pH6.5_A,4U_wt,EKC
230607_M05164_0144_000000000-L3FLD,082-EKC-WT-50c-a-4-p,/Volumes/MiniVault/LucksLab Dropbox/LucksLab/Group_Members/EKC/Projects/EKC.01_SHAPE_Standardization/Experiments/01.065.refactoring_data_analysis/demo_folder/demo_data/probe_data,082-EKC-WT-50c-a-4-p_S82_L001.sub5k_R1.fastq.gz,082-EKC-WT-50c-a-4-p_S82_L001.sub5k_R2.fastq.gz,52_1,52,1,540,dms,0.015852692,MRT,1,pH6.5_A,4U_wt,EKC
230607_M05164_0144_000000000-L3FLD,083-EKC-WT-50c-a-5-p,/Volumes/MiniVault/LucksLab Dropbox/LucksLab/Group_Members/EKC/Projects/EKC.01_SHAPE_Standardization/Experiments/01.065.refactoring_data_analysis/demo_folder/demo_data/probe_data,083-EKC-WT-50c-a-5-p_S83_L001.sub5k_R1.fastq.gz,083-EKC-WT-50c-a-5-p_S83_L001.sub5k_R2.fastq.gz,52_1,52,1,900,dms,0.015852692,MRT,1,pH6.5_A,4U_wt,EKC
230607_M05164_0144_000000000-L3FLD,084-EKC-WT-50c-a-6-p,/Volumes/MiniVault/LucksLab Dropbox/LucksLab/Group_Members/EKC/Projects/EKC.01_SHAPE_Standardization/Experiments/01.065.refactoring_data_analysis/demo_folder/demo_data/probe_data,084-EKC-WT-50c-a-6-p_S84_L001.sub5k_R1.fastq.gz,084-EKC-WT-50c-a-6-p_S84_L001.sub5k_R2.fastq.gz,52_1,52,1,1200,dms,0.015852692,MRT,1,pH6.5_A,4U_wt,EKC
240405_M05164_0164_000000000-LH62L,013-fourU-WT-70c-a-1-p,/Volumes/MiniVault/LucksLab Dropbox/LucksLab/Group_Members/EKC/Projects/EKC.01_SHAPE_Standardization/Experiments/01.065.refactoring_data_analysis/demo_folder/demo_data/probe_data,013-fourU-WT-70c-a-1-p_S13_L001.sub5k_R1.fastq.gz,013-fourU-WT-70c-a-1-p_S13_L001.sub5k_R2.fastq.gz,70_3,70,3,10,dms,0.015852692,MRT,1,pH6.5_A,4U_wt,EKC
240405_M05164_0164_000000000-LH62L,014-fourU-WT-70c-a-2-p,/Volumes/MiniVault/LucksLab Dropbox/LucksLab/Group_Members/EKC/Projects/EKC.01_SHAPE_Standardization/Experiments/01.065.refactoring_data_analysis/demo_folder/demo_data/probe_data,014-fourU-WT-70c-a-2-p_S14_L001.sub5k_R1.fastq.gz,014-fourU-WT-70c-a-2-p_S14_L001.sub5k_R2.fastq.gz,70_3,70,3,30,dms,0.015852692,MRT,1,pH6.5_A,4U_wt,EKC
