time,peak_integral
882,117961
1185,105705
1488,94826.1
1790,87664.8
2093,82697.9
2396,82098.9
2699,78115.9
3001,77044.2
3304,73082.7
3607,68358.5
3910,65936
4213,62774.3
4515,55930.1
4818,56522.6
5121,52564.6
5424,50126.3
5727,46903.7
6029,44782.5
6332,42063.7
6635,40743.8
6938,38231.5
7241,36571.7
7543,34222.8
7846,32076.2
8149,30543
8452,28434
8754,27493.4
9057,25300.5
9360,24236.1
9663,22615.6
9966,21226.2
10268,19892.8
10571,18744.7
10874,17897.8
11177,16878.5
11480,15995.1
11782,14918
12085,14184.9
12388,13316.7
12691,12867.2
12994,11824
13296,11370
13599,10372.2
13902,9846.33
14205,8555.99
14508,8977.62
14810,8002.52
15113,7828.44
15416,7236.67
15719,6955.39
16022,6538.45
16324,6185.54
16627,5561.47
16930,5232.05
17233,4876.29
17536,4828.35
17838,4508.51
18141,4279.32
18444,3730.51
18747,3837.83
19049,3353.95
19352,3208.84
19655,3090.96
19958,3205.86
20261,2634.93
20563,2388.98
20866,2286.46
21169,2229
21472,2046.89
21775,1879.61
22077,2067.78
22380,1559.12
22683,1477.07
22986,1353.97
23288,1260.27
23591,1506.07
23894,1251.55
24197,819.123
