time,peak
404,0.5798993873569073
526,0.4908903391328453
648,0.40975147145863183
770,0.3503792239745907
892,0.29741011390399696
1014,0.2528600608670432
1136,0.21481937940168996
1257,0.1822914919290717
1379,0.15147346852577612
1501,0.13074136668523836
1623,0.11077819779895218
1745,0.09461315300511422
1867,0.07739664298403161
1989,0.064965855318514
2110,0.05694429109329722
2232,0.04811964722013671
2354,0.04173902133067894
2476,0.03258998386744344
2598,0.027154083170133732
2720,0.024345960256284518
2842,0.018494102242110642
2963,0.016203364972314543
