time,peak
442,0.4660154036994397
565,0.3729709737024052
687,0.29599892162803754
809,0.23806707403931432
932,0.19609020282354653
1054,0.15521225241994316
1176,0.12762500358097742
1299,0.10376107614245694
1421,0.086432290103553
1543,0.06749986235588706
1666,0.053353187149974474
1788,0.04272697192797856
1910,0.03574232009027731
2033,0.029040489643502664
2155,0.020211364269387962
2277,0.014568157346093014
2400,0.010239181446446964
2522,0.009127050315760957
2644,0.006329191581960549
2767,0.003061102623058886
2889,0.0017904688235461336
3012,0.001600912915984897
