run_name,date,sequencer,run_manager
221123_M05164_0132_000000000-KP358,221123,MiSeq,EKC
221123_M05164_0132_000000000-KP358_RRRY-YYYR_demultiplexed,221123,MiSeq,EKC
221125_M05164_0133_000000000-KP3DR,221125,MiSeq,EKC
221125_M05164_0133_000000000-KP3DR_RRRY-YYYR_demultiplexed,221125,MiSeq,EKC
221128_M05164_0134_000000000-KP3B2,221128,MiSeq,EKC
221206_M06821_0107_000000000-DH77G,221206,MiSeq,RB
221228_M06821_0111_000000000-GCVRP,221228,MiSeq,RB
230117_M05164_0136_000000000-KMMP6,230117,MiSeq,EKC
230218_M05164_0138_000000000-KWNDN,230218,MiSeq,EKC
230218_M05164_0138_000000000-KWNDN_RRRY-YYYR_demultiplexed,230218,MiSeq,EKC
230420_M05164_0141_000000000-KV9HJ,230420,MiSeq,EKC
230420_M05164_0141_000000000-KV9HJ_RRRY-YYYR_demultiplexed,230420,MiSeq,EKC
230606_M05164_0143_000000000-GHJVD,230606,MiSeq,EKC
230607_M05164_0144_000000000-L3FLD,230607,MiSeq,EKC
230617_M05164_0145_000000000-L4LWB,230617,MiSeq,EKC
230830_M05164_0150_000000000-L6463,230830,MiSeq,EKC
230831_M05164_0151_000000000-L642V,230831,MiSeq,EKC
230901_M05164_0153_000000000-L6FR8,230901,MiSeq,EKC
240405_M05164_0164_000000000-LH62L,240405,MiSeq,EKC
240424_Lucks23_fourU_DMS_BATCH3-4,240424,NovaSeq,EKC
240424_Lucks24_fourU_DMS_BATCH5-6,240424,NovaSeq,EKC
250208_VH01990_20_AAGN23LM5,250208,NextSeq,EKC
